Date,Description,Category,Debit,Credit,Balance
2024-01-02,ACH DEPOSIT: ACME CORP BI-WEEKLY PAYROLL,Salary / Income,,3750.0,6250.0
2024-01-03,ONLINE TRANSFER - RENT TO HIGHLAND APARTMENTS,Rent & Housing,1950.0,,4300.0
2024-01-04,WHOLE FOODS MARKET #10424 GROCERY,Groceries,138.45,,4161.55
2024-01-06,STARBUCKS STORE #04822 COFFEE,Food & Dining,6.85,,4154.7
2024-01-08,AMAZON.COM*ORDER 204-8812 ELECTRONICS,Shopping & Retail,145.2,,4009.5
2024-01-10,CHEVRON 0092495 FUEL,Transportation & Fuel,48.5,,3961.0
2024-01-12,EQUINOX FITNESS MONTHLY GYM MEMBERSHIP,Healthcare & Medical,49.99,,3911.01
2024-01-15,NETFLIX.COM MONTHLY SUBSCRIPTION,Subscriptions & Media,19.99,,3891.02
2024-01-15,SPOTIFY USA STREAMING,Subscriptions & Media,10.99,,3880.03
2024-01-16,ACH DEPOSIT: ACME CORP BI-WEEKLY PAYROLL,Salary / Income,,3750.0,7630.03
2024-01-18,CON EDISON ELECTRIC & GAS UTILITY,Utilities & Bills,112.4,,7517.63
2024-01-20,TRADER JOE'S #520 ORGANIC GROCERIES,Groceries,84.6,,7433.03
2024-01-22,DOORDASH - CHIPOTLE MEXICAN GRILL,Food & Dining,28.5,,7404.53
2024-01-25,VERIZON WIRELESS MONTHLY BILL,Utilities & Bills,85.0,,7319.53
2024-01-28,ZELLE FROM ALEX SMITH - TRIP SHARE,Transfers & Banking,,120.0,7439.53
2024-01-30,TARGET STORE #0912 HOME GOODS,Shopping & Retail,76.3,,7363.23
2024-02-01,ACH DEPOSIT: ACME CORP BI-WEEKLY PAYROLL,Salary / Income,,3750.0,11113.23
2024-02-02,ONLINE TRANSFER - RENT TO HIGHLAND APARTMENTS,Rent & Housing,1950.0,,9163.23
2024-02-04,COSTCO WHOLESALE WAREHOUSE #481,Groceries,284.1,,8879.13
2024-02-07,AMAZON.COM*KITCHENWARE & BOOKS,Shopping & Retail,92.4,,8786.73
2024-02-10,SHELL OIL 1092 FUEL,Transportation & Fuel,51.0,,8735.73
2024-02-12,EQUINOX FITNESS MONTHLY GYM MEMBERSHIP,Healthcare & Medical,49.99,,8685.74
2024-02-15,NETFLIX.COM MONTHLY SUBSCRIPTION,Subscriptions & Media,19.99,,8665.75
2024-02-15,SPOTIFY USA STREAMING,Subscriptions & Media,10.99,,8654.76
