Transaction Date,Description,Debit,Credit,Balance
2024-01-02,ACH DEPOSIT: ACME CORP PAYROLL,,4500.00,4500.00
2024-01-03,RENT PAYMENT - MAIN ST APARTMENTS,1850.00,,2650.00
2024-01-05,WHOLE FOODS MARKET #10424,142.50,,2507.50
2024-01-08,AMAZON.COM*ORDER 204-9281,89.99,,2417.51
2024-01-10,STARBUCKS STORE #04822,6.75,,2410.76
2024-01-12,CHEVRON GASOLINE 0092,45.00,,2365.76
2024-01-15,NETFLIX.COM SUBSCRIPTION,19.99,,2345.77
2024-01-18,CON EDISON ELECTRIC UTILITY,115.40,,2230.37
2024-01-20,AMAZON.COM*KITCHEN SUPPLIES,64.20,,2166.17
2024-01-22,SPOTIFY USA MONTHLY,10.99,,2155.18
2024-01-25,STARBUCKS STORE #04822,7.25,,2147.93
2024-01-28,ZELLE FROM JOHN DOE - DINNER SPLIT,,75.00,2222.93
2024-01-30,TARGET STORE #0912,88.40,,2134.53
2024-02-01,ACH DEPOSIT: ACME CORP PAYROLL,,4500.00,6634.53
2024-02-02,RENT PAYMENT - MAIN ST APARTMENTS,1850.00,,4784.53
2024-02-05,WHOLE FOODS MARKET #10424,168.20,,4616.33
2024-02-09,AMAZON.COM*ELECTRONICS,220.00,,4396.33
2024-02-14,NETFLIX.COM SUBSCRIPTION,19.99,,4376.34
2024-02-15,SPOTIFY USA MONTHLY,10.99,,4365.35
2024-02-18,CON EDISON ELECTRIC UTILITY,98.60,,4266.75
2024-02-22,STARBUCKS STORE #04822,6.75,,4260.00
2024-02-26,CHEVRON GASOLINE 0092,48.50,,4211.50
